"Object property name (compact URI)","Label in English (rdfs:label [en])","Label in French (rdfs:label [fr])","Label in Spanish (rdfs:label [es])","Description (rdfs:comment)","Scope note (skos:scopeNote)","Corresponding component in RiC-CM (rico:RiCCMCorrespondingComponent)","Subproperty of (rdfs:subPropertyOf)","Domain (rdfs:domain)","Range (rdsf:range)","Inverse of (owl:inverseOf)","Type (rdf:type)","Property chain axiom (owl:propertyChainAxiom)","Changes since RiC-O 0.2 (skos:changeNote)"
"rico:hasAccumulator","has accumulator","est accumulé par","tiene como acumulador a","Connects a Record Resource or an Instantiation to the Agent that accumulates it, be it intentionally (collecting) or not (receiving in the course of its activities).",,"RiC-R028 ('has accumulator' relation)","hasOrganicProvenance","Instantiation ; RecordResource","Agent","isAccumulatorOf",,"thingIsSourceOfRelation/accumulationRelation_role/relationHasTarget","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new accumulationRelation_role object property."
"rico:hasActivityType","has activity type","a pour type d’activité","tiene como tipo de actividad a","Connects an Activity to an Activity Type that categorizes it.",,,"hasOrHadCategory","Activity","ActivityType","isActivityTypeOf",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:hasAddressee","has addressee","a pour destinataire","se dirige a","Connects a Record Resource or an Instantiation to the Agent that it is addressed to.","The identity of the addressee is (usually) evidenced by the Record Resource or Instantiation itself.","RiC-R032 ('has addressee' relation)","hasOrganicProvenance","Instantiation ; RecordResource","Agent","isAddresseeOf",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:hasAncestor","has ancestor","a pour ancêtre","tiene como ancestro a","Inverse of 'has descendant' object property. This is a transitive relation.",,"RiC-R017i (has ancestor relation)","hasFamilyAssociationWith; isSuccessorOf","Person","Person","hasDescendant","TransitiveProperty","thingIsTargetOfRelation/descendanceRelation_role/relationHasSource","2023-08-28 : Added a new rdfs:label in French. | 2023-09-08 : made property transitive | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new descendanceRelation_role object property."
"rico:hasAuthor","has author","a pour responsable intellectuel","tiene como autor a","Connects a Record to the Group, Person or Position that is responsible for conceiving and formulating the information contained in the Record.","To be used for a Person, Group or Position that makes any contribution to the content of a record. Includes the Person, Group or Position in whose name or by whose command the content may have been formulated and first instantiated (for example the Person who signed the Record).","RiC-R079 ('has author' relation)","hasCreator","Record","Group ; Person ; Position","isAuthorOf",,"thingIsSourceOfRelation/authorshipRelation_role/relationHasTarget","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new authorshipRelation_role object property. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the skos:scopeNote."
"rico:hasBeginningDate","has beginning date","a pour date de début","tiene como fecha de inicio","Inverse of 'is beginning date of' object property",,"RiC-R069i ('has beginning date' relation)","isAssociatedWithDate","Thing","Date","isBeginningDateOf",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:hasBirthDate","has birth date","a pour date de naissance","tiene como fecha de nacimiento","Inverse of 'is birth date of' object property",,"RiC-R070i ('has birth date' relation)","hasBeginningDate","Person","Date","isBirthDateOf",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:hasBirthPlace","has birth place","a pour lieu de naissance","tiene como lugar de nacimiento","Inverse of 'is birth place of' object property",,,"isAgentAssociatedWithPlace","Person","Place","isBirthPlaceOf",,,"2023-10-19 : Added for RiC-O 1.0. | 2023-10-26 : Fixed the domain of the property. | 2023-11-12 : Updated the description (rdfs:comment). | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:hasCarrierType","has carrier type","a pour type de support","tiene como tipo de soporte","Connects an Instantiation to a Carrier Type which categorizes its carrier.",,,"hasOrHadCategory","Instantiation","CarrierType","isCarrierTypeOf",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:hasChild","has child","a pour enfant","tiene como hijo o hija a","Connects a Person to one of their children.",,"RiC-R018 ('has child' relation)","hasDescendant","Person","Person","isChildOf",,"thingIsSourceOfRelation/childRelation_role/relationHasTarget","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new childRelation_role object property."
"rico:hasCollector","has collector","est collecté par","tiene como coleccionista a","Connects a Record Resource or an Instantiation to the Agent that collects it intentionally, i.e., the Agent is a collector.",,"RiC-R030 ('has collector' relation)","hasAccumulator","Instantiation ; RecordResource","Agent","isCollectorOf",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment)."
"rico:hasComponentTransitive","has component transitive","a pour composant transitif","tiene como componente transitivo","Connects an Instantiation to another Instantiation that is, directly or indirectly, a component of that Instantiation. This is a transitive relation.",,,"hasOrHadComponent; hasPartTransitive","Instantiation","Instantiation","isComponentOfTransitive","TransitiveProperty",,"2023-09-08 : Object property added, along with its inverse property, in order to enable to express current partitive relations between instantiations (the past partitive relation also being added). | 2023-11-12 : Updated the description (rdfs:comment) and labels. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:hasConstituentTransitive","has constituent transitive","a pour constituant transitif","tiene como elemento constitutivo transitivo","Connects a Record or Record Part to another Record or Record Part that is its constituent, directly or indirectly. This is a transitive relation.",,,"hasOrHadConstituent; hasPartTransitive","Record ; RecordPart","Record ; RecordPart","isConstituentOfTransitive","TransitiveProperty",,"2023-09-08 : Object property added, along with its inverse property, in order to enable to express current partitive relations between records and other records or record parts (the past partitive relation also being added). | 2023-10-26 : Added RecordPart to the domain. | 2023-11-12 : Updated the description (rdfs:comment) and labels. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:hasContentOfType","has content of type","a pour type de contenu","tiene como tipo de contenido","Connects a Record or a Record Part to a Content Type which categorizes its content.",,,"hasOrHadCategory","Record ; RecordPart","ContentType","isContentTypeOf",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:hasCopy","has copy","a pour copie","tiene como copia","Connects a Record Resource to a copy of that Record Resource.","Is both a temporal and genetic relation between the two Record Resources.","RiC-R012 ('has copy' relation)","hasGeneticLinkToRecordResource; precedesInTime","RecordResource","RecordResource","isCopyOf",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the skos:scopeNote."
"rico:hasCreationDate","has creation date","a pour date de création","tiene como fecha de creación","Inverse of 'is creation date of' object property",,"RiC-R080i","hasBeginningDate","Instantiation ; RecordResource","Date","isCreationDateOf",,,"2023-09-22 : Added in RiC-O 1.0. | 2023-11-27 : Added a new rdfs:label in Spanish."
